Gene,Coefficient,Abs_Coefficient,Direction
Hsa.692.2,-0.0020373592840680133,0.0020373592840680133,Normal
Hsa.37937,-0.0018397716363092022,0.0018397716363092022,Normal
Hsa.5398,0.001676825225864252,0.001676825225864252,Tumor
Hsa.4689,-0.0015144954139213057,0.0015144954139213057,Normal
Hsa.3016,0.0013532800071126428,0.0013532800071126428,Tumor
Hsa.8068,0.0013351583786545304,0.0013351583786545304,Tumor
Hsa.1832,-0.0012809612705306722,0.0012809612705306722,Normal
Hsa.36689,-0.0012543615502553045,0.0012543615502553045,Normal
Hsa.9972,0.0012417505246940714,0.0012417505246940714,Tumor
Hsa.43279,-0.001224105936441754,0.001224105936441754,Normal
Hsa.2553,0.0012181167586832057,0.0012181167586832057,Tumor
Hsa.5444,-0.001065827575612597,0.001065827575612597,Normal
Hsa.692.1,0.001031647906107558,0.001031647906107558,Tumor
Hsa.36952,-0.0010154952967233258,0.0010154952967233258,Normal
Hsa.8125,-0.0010110085058250954,0.0010110085058250954,Normal
Hsa.33965,0.0009533093828020779,0.0009533093828020779,Tumor
Hsa.7395,0.0009243892132299868,0.0009243892132299868,Tumor
Hsa.1130,0.0009096182740133937,0.0009096182740133937,Tumor
Hsa.1902,0.0008900329895237199,0.0008900329895237199,Tumor
Hsa.1131,-0.0008581694150781759,0.0008581694150781759,Normal
Hsa.678,0.000838354389032543,0.000838354389032543,Tumor
Hsa.702,0.000837844652827665,0.000837844652827665,Tumor
Hsa.1410,0.0008064145848873548,0.0008064145848873548,Tumor
Hsa.3306,0.0007802052406121573,0.0007802052406121573,Tumor
Hsa.8147,-0.0007476242365001979,0.0007476242365001979,Normal
Hsa.951,-0.0007337955645449783,0.0007337955645449783,Normal
Hsa.539,0.0006986447258063715,0.0006986447258063715,Tumor
Hsa.1985,0.0006750343790726469,0.0006750343790726469,Tumor
Hsa.832,0.0006648934860751605,0.0006648934860751605,Tumor
Hsa.41260,0.0006304909964585634,0.0006304909964585634,Tumor
Hsa.2588,-0.0006238013379119683,0.0006238013379119683,Normal
Hsa.957,0.0006135144551947597,0.0006135144551947597,Tumor
Hsa.544,0.0005901916791369466,0.0005901916791369466,Tumor
Hsa.2344,0.0005898582505610777,0.0005898582505610777,Tumor
Hsa.1047,0.0005721859749423249,0.0005721859749423249,Tumor
Hsa.4252,-0.0005521739957079852,0.0005521739957079852,Normal
Hsa.1207,-0.0005416502101296938,0.0005416502101296938,Normal
Hsa.692,0.0005411317365565469,0.0005411317365565469,Tumor
Hsa.549,0.0004652359747155236,0.0004652359747155236,Tumor
Hsa.1660,0.0004561712199920982,0.0004561712199920982,Tumor
Hsa.3305,-0.00044950829165992456,0.00044950829165992456,Normal
Hsa.3331,-0.0004463011442816526,0.0004463011442816526,Normal
Hsa.1588,0.00044610433402520383,0.00044610433402520383,Tumor
Hsa.5346,-0.0004323161736243039,0.0004323161736243039,Normal
Hsa.8010,0.0004304021149364329,0.0004304021149364329,Tumor
Hsa.43252,-0.0004300817108618703,0.0004300817108618703,Normal
Hsa.41280.1,0.0004149422454490627,0.0004149422454490627,Tumor
Hsa.3152,0.0004122249241780421,0.0004122249241780421,Tumor
Hsa.490,0.00041072212975275935,0.00041072212975275935,Tumor
Hsa.31630,-0.0003687531722833054,0.0003687531722833054,Normal
Hsa.6472,0.0003660099332709659,0.0003660099332709659,Tumor
Hsa.2451,0.00036170446327533657,0.00036170446327533657,Tumor
Hsa.7,0.0003497308366072843,0.0003497308366072843,Tumor
Hsa.5392,0.00034902478059042885,0.00034902478059042885,Tumor
Hsa.831,0.00034010122363845583,0.00034010122363845583,Tumor
Hsa.1205,-0.00029714475033599733,0.00029714475033599733,Normal
Hsa.878,-0.00029039698481935747,0.00029039698481935747,Normal
Hsa.1435,0.00026644253373140226,0.00026644253373140226,Tumor
Hsa.2928,0.00025930363236142717,0.00025930363236142717,Tumor
Hsa.6814,0.0002487863062103793,0.0002487863062103793,Tumor
Hsa.11616,0.00024672699500654456,0.00024672699500654456,Tumor
Hsa.1726,0.00024649717452937043,0.00024649717452937043,Tumor
Hsa.3001,0.00023876548289022468,0.00023876548289022468,Tumor
Hsa.2715,0.00023180563771941674,0.00023180563771941674,Tumor
Hsa.11673,0.00022319313957461174,0.00022319313957461174,Tumor
Hsa.103.1,0.00021546007610965262,0.00021546007610965262,Tumor
Hsa.10664,0.00020894393102402476,0.00020894393102402476,Tumor
Hsa.462,0.0002032827379856503,0.0002032827379856503,Tumor
Hsa.853,0.00020204406836015084,0.00020204406836015084,Tumor
Hsa.9218,0.00020170173744637768,0.00020170173744637768,Tumor
Hsa.27686,-0.00018914823338942575,0.00018914823338942575,Normal
Hsa.2291,0.00018650328821219665,0.00018650328821219665,Tumor
Hsa.1617,0.00017325151929257191,0.00017325151929257191,Tumor
Hsa.2644,-0.00017230265345638922,0.00017230265345638922,Normal
Hsa.37541,0.00016267408093654322,0.00016267408093654322,Tumor
Hsa.56,0.00015938799750223043,0.00015938799750223043,Tumor
Hsa.1763,-0.00014378596274013512,0.00014378596274013512,Normal
Hsa.41283,0.00014241233966379258,0.00014241233966379258,Tumor
Hsa.1221,0.00012354989850696307,0.00012354989850696307,Tumor
Hsa.3263,-0.00012032740623651222,0.00012032740623651222,Normal
Hsa.10755,0.00011786768725748595,0.00011786768725748595,Tumor
Hsa.601,0.000117515147093628,0.000117515147093628,Tumor
Hsa.5971,0.00011244304544661446,0.00011244304544661446,Tumor
Hsa.33,0.00011231206045478459,0.00011231206045478459,Tumor
Hsa.2705,9.84920986251487e-05,9.84920986251487e-05,Tumor
Hsa.2863,-8.109576907081576e-05,8.109576907081576e-05,Normal
Hsa.2097,6.138056077040777e-05,6.138056077040777e-05,Tumor
Hsa.1095,5.712226836667265e-05,5.712226836667265e-05,Tumor
Hsa.1073,5.186717468987583e-05,5.186717468987583e-05,Tumor
Hsa.773,4.6864306827867174e-05,4.6864306827867174e-05,Tumor
Hsa.466,4.308557648707021e-05,4.308557648707021e-05,Tumor
Hsa.2456,3.315711413583249e-05,3.315711413583249e-05,Tumor
Hsa.25322,-3.261124980894637e-05,3.261124980894637e-05,Normal
Hsa.1387,-2.9292316199984033e-05,2.9292316199984033e-05,Normal
Hsa.821,-2.4038028141931608e-05,2.4038028141931608e-05,Normal
Hsa.41323,2.26317811989098e-05,2.26317811989098e-05,Tumor
Hsa.2800,2.218586628899017e-05,2.218586628899017e-05,Tumor
